symbol,date,close,amount,turnover_rate,adj_factor,adj_price,ret
SZ.300124,2020-12-09,84.03,691995168.0,0.59,16.1518,1357.235754,-0.018111708343070854
SZ.300124,2020-12-10,84.15,921654144.0,0.79,16.1518,1359.1739700000003,0.001428061406640646
SZ.300124,2020-12-11,83.09,1303963552.0,1.11,16.1518,1342.0530620000002,-0.012596553773024377
SZ.300124,2020-12-14,84.19,807328736.0,0.69,16.1518,1359.820042,0.01323865687808401
SZ.300124,2020-12-15,86.45,790658880.0,0.66,16.1518,1396.3231100000003,0.026844043235538795
SZ.300124,2020-12-16,85.5,960623248.0,0.79,16.1518,1380.9789,-0.010989010989011172
SZ.300124,2020-12-17,85.94,591501440.0,0.49,16.1518,1388.085692,0.005146198830409343
SZ.300124,2020-12-18,88.16,1256278544.0,1.02,16.1518,1423.942688,0.025831975797067752
SZ.300124,2020-12-21,90.8,1486135584.0,1.18,16.1518,1466.58344,0.029945553539020064
SZ.300124,2020-12-22,86.0,1506451216.0,1.2,16.1518,1389.0548000000001,-0.052863436123347984
SZ.300124,2020-12-23,88.51,1234656768.0,0.99,16.1518,1429.5958180000002,0.02918604651162804
SZ.300124,2020-12-24,91.28,880841344.0,0.7,16.1518,1474.3363040000002,0.031295898768500585
SZ.300124,2020-12-25,92.45,1019685600.0,0.79,16.1518,1493.2339100000002,0.0128177037686239
SZ.300124,2020-12-28,90.9,1108022496.0,0.87,16.1518,1468.1986200000001,-0.016765819361817202
SZ.300124,2020-12-29,86.2,1364059232.0,1.11,16.1518,1392.2851600000001,-0.0517051705170517
SZ.300124,2020-12-30,87.56,1239021024.0,1.0,16.1518,1414.2516080000003,0.01577726218097464
SZ.300124,2020-12-31,93.3,1355608112.0,1.06,16.1518,1506.9629400000001,0.0655550479671081
SZ.300124,2021-01-04,95.59,1306392304.0,0.98,16.1518,1543.9505620000002,0.024544480171489802
SZ.300124,2021-01-05,96.18,1346942096.0,1.01,16.1518,1553.4801240000002,0.006172193744115484
SZ.300124,2021-01-06,95.4,1415305376.0,1.06,16.1518,1540.8817200000003,-0.008109794135994886
SZ.300124,2021-01-07,100.06,1738234512.0,1.26,16.152,1616.1691200000002,0.04885994753705036
SZ.300124,2021-01-08,100.0,1369756656.0,0.98,16.152,1615.2,-0.000599640215870556
SZ.300124,2021-01-11,95.29,1681210400.0,1.24,16.152,1539.1240800000003,-0.04709999999999981
